Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,27,1,2000,Stim
4,0,26,1,2000,Stim
5,0,27,1,2000,Stim
6,0,29,1,2000,Stim
7,4,10,1,828,Stim
8,0,28,1,2000,Stim
9,0,20,1,2000,Stim
10,0,26,1,2000,Stim
11,0,29,1,2000,Stim
12,0,25,1,2000,Stim
13,4,10,1,332,Stim
14,0,27,1,2000,Stim
15,0,29,1,2000,Stim
16,0,20,1,2000,Stim
17,4,10,1,451,Stim
18,0,28,1,2000,Stim
19,0,27,1,2000,Stim
20,0,29,1,2000,Stim
21,4,10,1,520,Stim
22,0,20,1,2000,Stim
23,0,27,1,2000,Stim
24,0,21,1,2000,Stim
25,0,23,1,2000,Stim
26,0,24,1,2000,Stim
27,0,26,1,2000,Stim
28,4,10,1,314,Stim
29,0,27,1,2000,Stim
30,0,25,1,2000,Stim
31,0,27,1,2000,Stim
32,4,10,1,340,Stim
33,0,22,1,2000,Stim
34,0,29,1,2000,Stim
35,0,20,1,2000,Stim
36,0,28,1,2000,Stim
37,4,10,1,419,Stim
38,0,27,1,2000,Stim
39,0,21,1,2000,Stim
40,4,10,1,668,Stim
41,0,23,1,2000,Stim
42,0,27,1,2000,Stim
43,0,24,1,2000,Stim
44,4,10,1,581,Stim
45,0,25,1,2000,Stim
46,4,10,1,337,Stim
47,0,28,1,2000,Stim
48,0,20,1,2000,Stim
49,0,21,1,2000,Stim
50,0,27,1,2000,Stim
51,0,23,1,2000,Stim
52,0,27,1,2000,Stim
53,0,26,1,2000,Stim
54,4,10,1,396,Stim
55,0,24,1,2000,Stim
56,0,22,1,2000,Stim
57,4,10,1,759,Stim
58,0,21,1,2000,Stim
59,0,27,1,2000,Stim
60,0,28,1,2000,Stim
61,4,10,1,321,Stim
62,0,29,1,2000,Stim
63,0,20,1,2000,Stim
64,4,10,1,581,Stim
65,0,22,1,2000,Stim
66,0,27,1,2000,Stim
67,0,25,1,2000,Stim
68,0,26,1,2000,Stim
69,0,24,1,2000,Stim
70,4,10,1,504,Stim
71,0,28,1,2000,Stim
72,0,27,1,2000,Stim
73,0,23,1,2000,Stim
74,0,25,1,2000,Stim
75,0,27,1,2000,Stim
76,4,10,1,676,Stim
77,0,26,1,2000,Stim
78,0,29,1,2000,Stim
79,4,10,1,557,Stim
80,0,20,1,2000,Stim
81,0,28,1,2000,Stim
82,0,27,1,2000,Stim
83,0,22,1,2000,Stim
84,4,10,1,565,Stim
85,0,21,1,2000,Stim
86,0,23,1,2000,Stim
87,4,10,1,380,Stim
88,0,21,1,2000,Stim
89,0,26,1,2000,Stim
90,0,24,1,2000,Stim
91,0,22,1,2000,Stim
92,0,27,1,2000,Stim
93,0,21,1,2000,Stim
94,0,25,1,2000,Stim
95,4,10,1,300,Stim
96,0,23,1,2000,Stim
97,0,29,1,2000,Stim
98,4,10,1,525,Stim
99,0,27,1,2000,Stim
100,0,21,1,2000,Stim
101,4,10,1,410,Stim
102,0,22,1,2000,Stim
103,0,27,1,2000,Stim
104,4,10,1,346,Stim
105,0,29,1,2000,Stim
106,0,22,1,2000,Stim
107,0,23,1,2000,Stim
108,0,28,1,2000,Stim
109,0,20,1,2000,Stim
110,0,27,1,2000,Stim
111,0,29,1,2000,Stim
112,4,10,1,335,Stim
113,0,28,1,2000,Stim
114,0,25,1,2000,Stim
115,0,26,1,2000,Stim
116,4,10,1,494,Stim
117,0,27,1,2000,Stim
118,0,22,1,2000,Stim
119,0,23,1,2000,Stim
120,0,29,1,2000,Stim
121,0,27,1,2000,Stim
122,4,10,1,315,Stim
123,0,21,1,2000,Stim
124,0,24,1,2000,Stim
125,0,25,1,2000,Stim
126,0,23,1,2000,Stim
127,0,21,1,2000,Stim
128,0,28,1,2000,Stim
129,4,10,1,494,Stim
130,0,20,1,2000,Stim
131,0,27,1,2000,Stim
132,0,22,1,2000,Stim
133,4,10,1,388,Stim
134,0,29,1,2000,Stim
135,0,28,1,2000,Stim
136,0,25,1,2000,Stim
137,0,26,1,2000,Stim
138,4,10,1,423,Stim
139,0,29,1,2000,Stim
140,4,10,1,447,Stim
141,0,24,1,2000,Stim
142,4,10,1,452,Stim
143,0,22,1,2000,Stim
144,0,21,1,2000,Stim
145,0,28,1,2000,Stim
146,0,23,1,2000,Stim
147,4,10,1,640,Stim
148,0,25,1,2000,Stim
149,0,20,1,2000,Stim
150,0,28,1,2000,Stim
151,0,23,1,2000,Stim
152,0,21,1,2000,Stim
153,0,22,1,2000,Stim
