Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,20,1,2000,Stim
4,0,28,1,2000,Stim
5,0,10,0,2000,Stim
6,0,27,1,2000,Stim
7,0,29,1,2000,Stim
8,0,10,0,2000,Stim
9,-1,21,0,2000,Stim
10,0,23,1,2000,Stim
11,0,24,1,2000,Stim
12,0,10,0,2000,Stim
13,0,26,1,2000,Stim
14,0,27,1,2000,Stim
15,0,25,1,2000,Stim
16,0,10,0,2000,Stim
17,0,22,1,2000,Stim
18,0,29,1,2000,Stim
19,0,10,0,2000,Stim
20,0,20,1,2000,Stim
21,0,28,1,2000,Stim
22,0,10,0,2000,Stim
23,4,28,0,472,Stim
24,0,27,1,2000,Stim
25,0,21,1,2000,Stim
26,0,23,1,2000,Stim
27,0,10,0,2000,Stim
28,4,27,0,145,Stim
29,0,24,1,2000,Stim
30,0,25,1,2000,Stim
31,0,10,0,2000,Stim
32,0,28,1,2000,Stim
33,0,28,1,2000,Stim
34,0,23,1,2000,Stim
35,0,27,1,2000,Stim
36,0,10,0,2000,Stim
37,4,28,0,1107,Stim
38,0,20,1,2000,Stim
39,0,22,1,2000,Stim
40,0,10,0,2000,Stim
41,0,25,1,2000,Stim
42,0,27,1,2000,Stim
43,4,10,1,1404,Stim
44,0,28,1,2000,Stim
45,0,26,1,2000,Stim
46,0,24,1,2000,Stim
47,0,10,0,2000,Stim
48,0,27,1,2000,Stim
49,0,23,1,2000,Stim
50,0,10,0,2000,Stim
51,0,28,1,2000,Stim
52,0,26,1,2000,Stim
53,0,25,1,2000,Stim
54,0,29,1,2000,Stim
55,0,29,1,2000,Stim
56,0,20,1,2000,Stim
57,0,27,1,2000,Stim
58,0,10,0,2000,Stim
59,0,22,1,2000,Stim
60,0,24,1,2000,Stim
61,4,10,1,1190,Stim
62,0,25,1,2000,Stim
63,0,21,1,2000,Stim
64,0,23,1,2000,Stim
65,0,10,0,2000,Stim
66,0,26,1,2000,Stim
67,0,24,1,2000,Stim
68,0,27,1,2000,Stim
69,0,21,1,2000,Stim
70,0,25,1,2000,Stim
71,0,23,1,2000,Stim
72,0,29,1,2000,Stim
73,0,25,1,2000,Stim
74,-1,10,0,2000,Stim
75,0,20,1,2000,Stim
76,0,27,1,2000,Stim
77,0,21,1,2000,Stim
78,0,22,1,2000,Stim
79,0,10,0,2000,Stim
80,0,27,1,2000,Stim
81,0,29,1,2000,Stim
82,0,24,1,2000,Stim
83,0,21,1,2000,Stim
84,0,22,1,2000,Stim
85,0,20,1,2000,Stim
86,0,27,1,2000,Stim
87,0,10,0,2000,Stim
88,0,29,1,2000,Stim
89,0,26,1,2000,Stim
90,0,10,0,2000,Stim
91,0,25,1,2000,Stim
92,0,20,1,2000,Stim
93,0,24,1,2000,Stim
94,0,23,1,2000,Stim
95,0,21,1,2000,Stim
96,0,10,0,2000,Stim
97,0,24,1,2000,Stim
98,-1,29,0,2000,Stim
99,0,25,1,2000,Stim
100,0,10,0,2000,Stim
101,0,26,1,2000,Stim
102,0,26,1,2000,Stim
103,4,29,0,424,Stim
104,0,24,1,2000,Stim
105,0,10,0,2000,Stim
106,0,22,1,2000,Stim
107,0,28,1,2000,Stim
108,0,21,1,2000,Stim
109,0,23,1,2000,Stim
110,0,20,1,2000,Stim
111,0,22,1,2000,Stim
112,0,27,1,2000,Stim
113,0,26,1,2000,Stim
114,0,10,0,2000,Stim
115,0,25,1,2000,Stim
116,0,29,1,2000,Stim
117,0,26,1,2000,Stim
118,4,10,1,1469,Stim
119,0,25,1,2000,Stim
120,0,27,1,2000,Stim
121,0,29,1,2000,Stim
122,0,10,0,2000,Stim
123,0,24,1,2000,Stim
124,0,26,1,2000,Stim
125,0,26,1,2000,Stim
126,4,21,0,1347,Stim
127,0,24,1,2000,Stim
128,0,20,1,2000,Stim
129,0,22,1,2000,Stim
130,0,21,1,2000,Stim
131,0,10,0,2000,Stim
132,0,27,1,2000,Stim
133,0,28,1,2000,Stim
134,0,28,1,2000,Stim
135,0,29,1,2000,Stim
136,0,10,0,2000,Stim
137,0,25,1,2000,Stim
138,4,10,1,952,Stim
139,0,21,1,2000,Stim
140,0,26,1,2000,Stim
141,0,26,1,2000,Stim
142,0,27,1,2000,Stim
143,0,23,1,2000,Stim
144,0,29,1,2000,Stim
145,4,27,0,708,Stim
146,0,10,0,2000,Stim
147,0,28,1,2000,Stim
148,0,21,1,2000,Stim
149,0,20,1,2000,Stim
150,0,27,1,2000,Stim
151,0,22,1,2000,Stim
152,-1,20,0,2000,Stim
153,0,10,0,2000,Stim
154,0,21,1,2000,Stim
155,0,24,1,2000,Stim
156,0,25,1,2000,Stim
157,4,25,0,930,Stim
158,0,28,1,2000,Stim
159,0,20,1,2000,Stim
