Trial,Resp,Type,Correct,Latency,Stim/Resp
3,0,27,1,2000,Stim
4,0,24,1,2000,Stim
5,0,26,1,2000,Stim
6,0,29,1,2000,Stim
7,4,10,1,692,Stim
8,0,25,1,2000,Stim
9,0,27,1,2000,Stim
10,0,29,1,2000,Stim
11,4,10,1,790,Stim
12,0,24,1,2000,Stim
13,0,20,1,2000,Stim
14,0,28,1,2000,Stim
15,4,10,1,763,Stim
16,0,27,1,2000,Stim
17,0,22,1,2000,Stim
18,0,29,1,2000,Stim
19,4,10,1,554,Stim
20,0,21,1,2000,Stim
21,0,10,0,2000,Stim
22,0,23,1,2000,Stim
23,0,24,1,2000,Stim
24,4,10,1,722,Stim
25,0,20,1,2000,Stim
26,0,28,1,2000,Stim
27,4,10,1,510,Stim
28,0,27,1,2000,Stim
29,0,24,1,2000,Stim
30,0,28,1,2000,Stim
31,0,28,1,2000,Stim
32,0,29,1,2000,Stim
33,4,10,1,916,Stim
34,0,20,1,2000,Stim
35,0,22,1,2000,Stim
36,0,10,0,2000,Stim
37,0,27,1,2000,Stim
38,0,25,1,2000,Stim
39,0,26,1,2000,Stim
40,0,24,1,2000,Stim
41,4,10,1,507,Stim
42,0,28,1,2000,Stim
43,0,27,1,2000,Stim
44,0,23,1,2000,Stim
45,4,10,1,789,Stim
46,0,24,1,2000,Stim
47,0,21,1,2000,Stim
48,0,26,1,2000,Stim
49,0,29,1,2000,Stim
50,0,29,1,2000,Stim
51,0,20,1,2000,Stim
52,0,27,1,2000,Stim
53,4,10,1,1042,Stim
54,0,21,1,2000,Stim
55,0,22,1,2000,Stim
56,0,22,1,2000,Stim
57,0,21,1,2000,Stim
58,0,23,1,2000,Stim
59,4,10,1,754,Stim
60,0,27,1,2000,Stim
61,0,23,1,2000,Stim
62,0,26,1,2000,Stim
63,0,24,1,2000,Stim
64,0,28,1,2000,Stim
65,0,27,1,2000,Stim
66,0,25,1,2000,Stim
67,0,25,1,2000,Stim
68,0,23,1,2000,Stim
69,0,21,1,2000,Stim
70,0,29,1,2000,Stim
71,0,25,1,2000,Stim
72,4,10,1,661,Stim
73,0,20,1,2000,Stim
74,0,26,1,2000,Stim
75,0,26,1,2000,Stim
76,0,27,1,2000,Stim
77,0,23,1,2000,Stim
78,0,29,1,2000,Stim
79,0,27,1,2000,Stim
80,4,10,1,775,Stim
81,0,29,1,2000,Stim
82,0,25,1,2000,Stim
83,4,10,1,702,Stim
84,0,20,1,2000,Stim
85,0,21,1,2000,Stim
86,0,26,1,2000,Stim
87,0,28,1,2000,Stim
88,4,26,0,869,Stim
89,0,29,1,2000,Stim
90,0,24,1,2000,Stim
91,0,23,1,2000,Stim
92,0,10,0,2000,Stim
93,0,25,1,2000,Stim
94,0,22,1,2000,Stim
95,0,28,1,2000,Stim
96,0,23,1,2000,Stim
97,0,22,1,2000,Stim
98,0,21,1,2000,Stim
99,0,28,1,2000,Stim
100,0,24,1,2000,Stim
101,0,25,1,2000,Stim
102,4,10,1,585,Stim
103,0,27,1,2000,Stim
104,0,23,1,2000,Stim
105,4,10,1,863,Stim
106,0,21,1,2000,Stim
107,0,22,1,2000,Stim
108,0,10,0,2000,Stim
109,0,20,1,2000,Stim
110,0,27,1,2000,Stim
111,0,29,1,2000,Stim
112,0,28,1,2000,Stim
113,0,22,1,2000,Stim
114,0,20,1,2000,Stim
115,0,27,1,2000,Stim
116,4,10,1,668,Stim
117,0,25,1,2000,Stim
118,0,21,1,2000,Stim
119,0,24,1,2000,Stim
120,0,23,1,2000,Stim
121,0,21,1,2000,Stim
122,0,10,0,2000,Stim
123,4,20,0,1012,Stim
124,0,28,1,2000,Stim
125,0,20,1,2000,Stim
126,0,10,0,2000,Stim
127,0,27,1,2000,Stim
128,0,22,1,2000,Stim
129,0,20,1,2000,Stim
130,4,10,1,553,Stim
131,0,27,1,2000,Stim
132,0,25,1,2000,Stim
133,0,23,1,2000,Stim
134,0,26,1,2000,Stim
135,0,26,1,2000,Stim
136,0,24,1,2000,Stim
137,0,28,1,2000,Stim
138,0,21,1,2000,Stim
139,0,22,1,2000,Stim
140,4,21,0,631,Stim
141,4,10,1,1086,Stim
142,0,29,1,2000,Stim
143,0,26,1,2000,Stim
144,4,10,1,1191,Stim
145,0,20,1,2000,Stim
146,0,21,1,2000,Stim
147,0,28,1,2000,Stim
148,0,25,1,2000,Stim
149,0,10,0,2000,Stim
150,0,26,1,2000,Stim
151,0,27,1,2000,Stim
152,0,25,1,2000,Stim
153,4,10,1,892,Stim
154,0,22,1,2000,Stim
155,0,29,1,2000,Stim
156,0,10,0,2000,Stim
157,0,21,1,2000,Stim
158,0,24,1,2000,Stim
159,0,25,1,2000,Stim
160,0,28,1,2000,Stim
161,0,20,1,2000,Stim
